Component ID,Stand
2_44_merged,OBJECTID
2_44_merged,TARGET_FID
2_44_merged,LandUse_1
2_44_merged,Ocupacao
2_44_merged,ID_UG
2_44_merged,NOME
2_44_merged,YY_correct
2_44_merged,XX_Correct
2_44_merged,Altitude
2_44_merged,Declive
2_44_merged,Litologia
2_44_merged,Relevo
2_44_merged,Uso
2_44_merged,Espessura
2_44_merged,Apt_flor
2_44_merged,Solo
2_44_merged,Classifica
2_44_merged,Perimetro
2_44_merged,Area
2_44_merged,Hectares
2_44_merged,UsoSolo20
2_44_merged,Shape_Leng
2_44_merged,Shape_Area
2_44_merged,HBC
2_44_merged,CH
2_44_merged,CBD
2_44_merged,CC
2_44_merged,geometry
2_44_merged,comp_id
