Component ID,Stand
3_43_merged,OBJECTID
3_43_merged,TARGET_FID
3_43_merged,LandUse_1
3_43_merged,Ocupacao
3_43_merged,ID_UG
3_43_merged,NOME
3_43_merged,YY_correct
3_43_merged,XX_Correct
3_43_merged,Altitude
3_43_merged,Declive
3_43_merged,Litologia
3_43_merged,Relevo
3_43_merged,Uso
3_43_merged,Espessura
3_43_merged,Apt_flor
3_43_merged,Solo
3_43_merged,Classifica
3_43_merged,Perimetro
3_43_merged,Area
3_43_merged,Hectares
3_43_merged,UsoSolo20
3_43_merged,Shape_Leng
3_43_merged,Shape_Area
3_43_merged,HBC
3_43_merged,CH
3_43_merged,CBD
3_43_merged,CC
3_43_merged,geometry
3_43_merged,comp_id
