Component ID,Stand
5_39_merged,OBJECTID
5_39_merged,TARGET_FID
5_39_merged,LandUse_1
5_39_merged,Ocupacao
5_39_merged,ID_UG
5_39_merged,NOME
5_39_merged,YY_correct
5_39_merged,XX_Correct
5_39_merged,Altitude
5_39_merged,Declive
5_39_merged,Litologia
5_39_merged,Relevo
5_39_merged,Uso
5_39_merged,Espessura
5_39_merged,Apt_flor
5_39_merged,Solo
5_39_merged,Classifica
5_39_merged,Perimetro
5_39_merged,Area
5_39_merged,Hectares
5_39_merged,UsoSolo20
5_39_merged,Shape_Leng
5_39_merged,Shape_Area
5_39_merged,HBC
5_39_merged,CH
5_39_merged,CBD
5_39_merged,CC
5_39_merged,geometry
5_39_merged,comp_id
