Component ID,Stand
36_50_merged,OBJECTID
36_50_merged,TARGET_FID
36_50_merged,LandUse_1
36_50_merged,Ocupacao
36_50_merged,ID_UG
36_50_merged,NOME
36_50_merged,YY_correct
36_50_merged,XX_Correct
36_50_merged,Altitude
36_50_merged,Declive
36_50_merged,Litologia
36_50_merged,Relevo
36_50_merged,Uso
36_50_merged,Espessura
36_50_merged,Apt_flor
36_50_merged,Solo
36_50_merged,Classifica
36_50_merged,Perimetro
36_50_merged,Area
36_50_merged,Hectares
36_50_merged,UsoSolo20
36_50_merged,Shape_Leng
36_50_merged,Shape_Area
36_50_merged,HBC
36_50_merged,CH
36_50_merged,CBD
36_50_merged,CC
36_50_merged,geometry
36_50_merged,comp_id
