Component ID,Stand
21_40_merged,OBJECTID
21_40_merged,TARGET_FID
21_40_merged,LandUse_1
21_40_merged,Ocupacao
21_40_merged,ID_UG
21_40_merged,NOME
21_40_merged,YY_correct
21_40_merged,XX_Correct
21_40_merged,Altitude
21_40_merged,Declive
21_40_merged,Litologia
21_40_merged,Relevo
21_40_merged,Uso
21_40_merged,Espessura
21_40_merged,Apt_flor
21_40_merged,Solo
21_40_merged,Classifica
21_40_merged,Perimetro
21_40_merged,Area
21_40_merged,Hectares
21_40_merged,UsoSolo20
21_40_merged,Shape_Leng
21_40_merged,Shape_Area
21_40_merged,HBC
21_40_merged,CH
21_40_merged,CBD
21_40_merged,CC
21_40_merged,geometry
21_40_merged,comp_id
